,location,date,population,total_cases,total_deaths
494,Afghanistan,2021-05-11,41128772.0,62403.0,2710.0
503,Afghanistan,2021-05-20,41128772.0,64575.0,2772.0
507,Afghanistan,2021-05-24,41128772.0,66275.0,2812.0
509,Afghanistan,2021-05-26,41128772.0,67743.0,2855.0
510,Afghanistan,2021-05-27,41128772.0,68366.0,2869.0
513,Afghanistan,2021-05-30,41128772.0,70761.0,2919.0
516,Afghanistan,2021-06-02,41128772.0,74026.0,3007.0
517,Afghanistan,2021-06-03,41128772.0,75119.0,3034.0
522,Afghanistan,2021-06-08,41128772.0,82326.0,3251.0
528,Afghanistan,2021-06-14,41128772.0,91458.0,3612.0
536,Afghanistan,2021-06-22,41128772.0,105749.0,4293.0
541,Afghanistan,2021-06-27,41128772.0,114220.0,4650.0
544,Afghanistan,2021-06-30,41128772.0,118659.0,4871.0
549,Afghanistan,2021-07-05,41128772.0,125937.0,5283.0
551,Afghanistan,2021-07-07,41128772.0,129021.0,5415.0
555,Afghanistan,2021-07-11,41128772.0,133578.0,5724.0
595,Afghanistan,2021-08-20,41128772.0,152448.0,7054.0
681,Afghanistan,2021-11-14,41128772.0,156512.0,7292.0
724,Afghanistan,2021-12-27,41128772.0,157951.0,7354.0
737,Afghanistan,2022-01-09,41128772.0,158345.0,7369.0
739,Afghanistan,2022-01-11,41128772.0,158394.0,7373.0
741,Afghanistan,2022-01-13,41128772.0,158511.0,7376.0
745,Afghanistan,2022-01-17,41128772.0,158737.0,7379.0
747,Afghanistan,2022-01-19,41128772.0,158974.0,7383.0
752,Afghanistan,2022-01-24,41128772.0,159682.0,7393.0
754,Afghanistan,2022-01-26,41128772.0,160252.0,7397.0
755,Afghanistan,2022-01-27,41128772.0,160708.0,7401.0
759,Afghanistan,2022-01-31,41128772.0,162140.0,7409.0
761,Afghanistan,2022-02-02,41128772.0,163720.0,7417.0
766,Afghanistan,2022-02-07,41128772.0,166191.0,7432.0
773,Afghanistan,2022-02-14,41128772.0,170604.0,7494.0
779,Afghanistan,2022-02-20,41128772.0,171930.0,7534.0
786,Afghanistan,2022-02-27,41128772.0,173180.0,7588.0
793,Afghanistan,2022-03-06,41128772.0,174347.0,7622.0
804,Afghanistan,2022-03-17,41128772.0,176743.0,7651.0
809,Afghanistan,2022-03-22,41128772.0,177191.0,7654.0
822,Afghanistan,2022-04-04,41128772.0,177827.0,7671.0
832,Afghanistan,2022-04-14,41128772.0,178332.0,7676.0
836,Afghanistan,2022-04-18,41128772.0,178418.0,7678.0
844,Afghanistan,2022-04-26,41128772.0,178745.0,7683.0
845,Afghanistan,2022-04-27,41128772.0,178769.0,7683.0
853,Afghanistan,2022-05-05,41128772.0,178905.0,7684.0
856,Afghanistan,2022-05-08,41128772.0,178923.0,7684.0
858,Afghanistan,2022-05-10,41128772.0,179010.0,7685.0
863,Afghanistan,2022-05-15,41128772.0,179243.0,7690.0
871,Afghanistan,2022-05-23,41128772.0,179716.0,7698.0
880,Afghanistan,2022-06-01,41128772.0,180347.0,7705.0
894,Afghanistan,2022-06-15,41128772.0,181236.0,7710.0
900,Afghanistan,2022-06-21,41128772.0,181749.0,7714.0
909,Afghanistan,2022-06-30,41128772.0,182430.0,7722.0
919,Afghanistan,2022-07-10,41128772.0,183219.0,7727.0
926,Afghanistan,2022-07-17,41128772.0,183450.0,7730.0
928,Afghanistan,2022-07-19,41128772.0,183687.0,7733.0
936,Afghanistan,2022-07-27,41128772.0,185086.0,7742.0
947,Afghanistan,2022-08-07,41128772.0,187046.0,7752.0
955,Afghanistan,2022-08-15,41128772.0,189045.0,7758.0
962,Afghanistan,2022-08-22,41128772.0,190767.0,7764.0
971,Afghanistan,2022-08-31,41128772.0,193250.0,7777.0
975,Afghanistan,2022-09-04,41128772.0,193887.0,7780.0
982,Afghanistan,2022-09-11,41128772.0,195647.0,7787.0
983,Afghanistan,2022-09-12,41128772.0,196012.0,7787.0
990,Afghanistan,2022-09-19,41128772.0,197333.0,7796.0
997,Afghanistan,2022-09-26,41128772.0,198455.0,7797.0
999,Afghanistan,2022-09-28,41128772.0,198750.0,7798.0
1005,Afghanistan,2022-10-04,41128772.0,199591.0,7803.0
1012,Afghanistan,2022-10-11,41128772.0,200504.0,7807.0
1017,Afghanistan,2022-10-16,41128772.0,201096.0,7811.0
1025,Afghanistan,2022-10-24,41128772.0,202149.0,7818.0
1033,Afghanistan,2022-11-01,41128772.0,203063.0,7822.0
1034,Afghanistan,2022-11-02,41128772.0,203167.0,7823.0
1040,Afghanistan,2022-11-08,41128772.0,203890.0,7828.0
1047,Afghanistan,2022-11-15,41128772.0,204610.0,7829.0
1048,Afghanistan,2022-11-16,41128772.0,204719.0,7830.0
1059,Afghanistan,2022-11-27,41128772.0,205596.0,7833.0
1067,Afghanistan,2022-12-05,41128772.0,206236.0,7834.0
1084,Afghanistan,2022-12-22,41128772.0,207214.0,7845.0
1099,Afghanistan,2023-01-06,41128772.0,207762.0,7850.0
1109,Afghanistan,2023-01-16,41128772.0,207969.0,7855.0
1115,Afghanistan,2023-01-22,41128772.0,208097.0,7860.0
1122,Afghanistan,2023-01-29,41128772.0,208420.0,7866.0
