,location,date,total_cases,people_fully_vaccinated,population,total_deaths
494,Afghanistan,2021-05-11,62403.0,55624.0,41128772.0,2710.0
503,Afghanistan,2021-05-20,64575.0,77560.0,41128772.0,2772.0
507,Afghanistan,2021-05-24,66275.0,96910.0,41128772.0,2812.0
509,Afghanistan,2021-05-26,67743.0,111082.0,41128772.0,2855.0
510,Afghanistan,2021-05-27,68366.0,113739.0,41128772.0,2869.0
513,Afghanistan,2021-05-30,70761.0,119926.0,41128772.0,2919.0
516,Afghanistan,2021-06-02,74026.0,144600.0,41128772.0,3007.0
517,Afghanistan,2021-06-03,75119.0,148505.0,41128772.0,3034.0
522,Afghanistan,2021-06-08,82326.0,158343.0,41128772.0,3251.0
528,Afghanistan,2021-06-14,91458.0,177266.0,41128772.0,3612.0
536,Afghanistan,2021-06-22,105749.0,183762.0,41128772.0,4293.0
541,Afghanistan,2021-06-27,114220.0,186260.0,41128772.0,4650.0
544,Afghanistan,2021-06-30,118659.0,187654.0,41128772.0,4871.0
549,Afghanistan,2021-07-05,125937.0,189322.0,41128772.0,5283.0
551,Afghanistan,2021-07-07,129021.0,199250.0,41128772.0,5415.0
555,Afghanistan,2021-07-11,133578.0,219159.0,41128772.0,5724.0
595,Afghanistan,2021-08-20,152448.0,430744.0,41128772.0,7054.0
681,Afghanistan,2021-11-14,156512.0,3188609.0,41128772.0,7292.0
724,Afghanistan,2021-12-27,157951.0,3753224.0,41128772.0,7354.0
737,Afghanistan,2022-01-09,158345.0,3809353.0,41128772.0,7369.0
739,Afghanistan,2022-01-11,158394.0,3814837.0,41128772.0,7373.0
741,Afghanistan,2022-01-13,158511.0,3823786.0,41128772.0,7376.0
745,Afghanistan,2022-01-17,158737.0,3832821.0,41128772.0,7379.0
747,Afghanistan,2022-01-19,158974.0,3836731.0,41128772.0,7383.0
752,Afghanistan,2022-01-24,159682.0,3851307.0,41128772.0,7393.0
754,Afghanistan,2022-01-26,160252.0,3866279.0,41128772.0,7397.0
755,Afghanistan,2022-01-27,160708.0,3868832.0,41128772.0,7401.0
759,Afghanistan,2022-01-31,162140.0,3892831.0,41128772.0,7409.0
761,Afghanistan,2022-02-02,163720.0,3912336.0,41128772.0,7417.0
766,Afghanistan,2022-02-07,166191.0,3959887.0,41128772.0,7432.0
773,Afghanistan,2022-02-14,170604.0,4043580.0,41128772.0,7494.0
779,Afghanistan,2022-02-20,171930.0,4125717.0,41128772.0,7534.0
786,Afghanistan,2022-02-27,173180.0,4231984.0,41128772.0,7588.0
793,Afghanistan,2022-03-06,174347.0,4281934.0,41128772.0,7622.0
804,Afghanistan,2022-03-17,176743.0,4402868.0,41128772.0,7651.0
809,Afghanistan,2022-03-22,177191.0,4420127.0,41128772.0,7654.0
822,Afghanistan,2022-04-04,177827.0,4532577.0,41128772.0,7671.0
832,Afghanistan,2022-04-14,178332.0,4595506.0,41128772.0,7676.0
836,Afghanistan,2022-04-18,178418.0,4603187.0,41128772.0,7678.0
844,Afghanistan,2022-04-26,178745.0,4636946.0,41128772.0,7683.0
845,Afghanistan,2022-04-27,178769.0,4637327.0,41128772.0,7683.0
853,Afghanistan,2022-05-05,178905.0,4668999.0,41128772.0,7684.0
856,Afghanistan,2022-05-08,178923.0,4670950.0,41128772.0,7684.0
858,Afghanistan,2022-05-10,179010.0,4676224.0,41128772.0,7685.0
863,Afghanistan,2022-05-15,179243.0,4710456.0,41128772.0,7690.0
871,Afghanistan,2022-05-23,179716.0,4758426.0,41128772.0,7698.0
880,Afghanistan,2022-06-01,180347.0,4807917.0,41128772.0,7705.0
894,Afghanistan,2022-06-15,181236.0,4923085.0,41128772.0,7710.0
900,Afghanistan,2022-06-21,181749.0,4979930.0,41128772.0,7714.0
909,Afghanistan,2022-06-30,182430.0,5064430.0,41128772.0,7722.0
919,Afghanistan,2022-07-10,183219.0,5105618.0,41128772.0,7727.0
926,Afghanistan,2022-07-17,183450.0,5309804.0,41128772.0,7730.0
928,Afghanistan,2022-07-19,183687.0,6422705.0,41128772.0,7733.0
936,Afghanistan,2022-07-27,185086.0,6571487.0,41128772.0,7742.0
947,Afghanistan,2022-08-07,187046.0,8272846.0,41128772.0,7752.0
955,Afghanistan,2022-08-15,189045.0,9613976.0,41128772.0,7758.0
962,Afghanistan,2022-08-22,190767.0,9771963.0,41128772.0,7764.0
971,Afghanistan,2022-08-31,193250.0,9939590.0,41128772.0,7777.0
975,Afghanistan,2022-09-04,193887.0,9963368.0,41128772.0,7780.0
982,Afghanistan,2022-09-11,195647.0,10096068.0,41128772.0,7787.0
983,Afghanistan,2022-09-12,196012.0,10105500.0,41128772.0,7787.0
990,Afghanistan,2022-09-19,197333.0,10187788.0,41128772.0,7796.0
997,Afghanistan,2022-09-26,198455.0,10233282.0,41128772.0,7797.0
999,Afghanistan,2022-09-28,198750.0,10245183.0,41128772.0,7798.0
1005,Afghanistan,2022-10-04,199591.0,10278516.0,41128772.0,7803.0
1012,Afghanistan,2022-10-11,200504.0,10303193.0,41128772.0,7807.0
1017,Afghanistan,2022-10-16,201096.0,10328057.0,41128772.0,7811.0
1025,Afghanistan,2022-10-24,202149.0,10386823.0,41128772.0,7818.0
1033,Afghanistan,2022-11-01,203063.0,10427132.0,41128772.0,7822.0
1034,Afghanistan,2022-11-02,203167.0,10458947.0,41128772.0,7823.0
1040,Afghanistan,2022-11-08,203890.0,10489783.0,41128772.0,7828.0
1047,Afghanistan,2022-11-15,204610.0,10517707.0,41128772.0,7829.0
1048,Afghanistan,2022-11-16,204719.0,10531675.0,41128772.0,7830.0
1059,Afghanistan,2022-11-27,205596.0,10587076.0,41128772.0,7833.0
1067,Afghanistan,2022-12-05,206236.0,10615628.0,41128772.0,7834.0
1084,Afghanistan,2022-12-22,207214.0,10754839.0,41128772.0,7845.0
1099,Afghanistan,2023-01-06,207762.0,10825004.0,41128772.0,7850.0
1109,Afghanistan,2023-01-16,207969.0,10894509.0,41128772.0,7855.0
1115,Afghanistan,2023-01-22,208097.0,10956289.0,41128772.0,7860.0
1122,Afghanistan,2023-01-29,208420.0,10967235.0,41128772.0,7866.0
1136,Afghanistan,2023-02-12,208856.0,11043751.0,41128772.0,7877.0
1138,Afghanistan,2023-02-14,209020.0,11062636.0,41128772.0,7877.0
1143,Afghanistan,2023-02-19,209086.0,11661485.0,41128772.0,7877.0
1147,Afghanistan,2023-02-23,209195.0,11885116.0,41128772.0,7878.0
1150,Afghanistan,2023-02-26,209251.0,12476994.0,41128772.0,7878.0
1152,Afghanistan,2023-02-28,209322.0,12723156.0,41128772.0,7879.0
1157,Afghanistan,2023-03-05,209369.0,13337097.0,41128772.0,7879.0
1557,Africa,2021-02-03,3620602.0,5.0,1426736614.0,92532.0
1558,Africa,2021-02-04,3636489.0,5.0,1426736614.0,93254.0
1559,Africa,2021-02-05,3652910.0,5.0,1426736614.0,93799.0
1560,Africa,2021-02-06,3672174.0,1586.0,1426736614.0,94374.0
1561,Africa,2021-02-07,3685424.0,1586.0,1426736614.0,94916.0
1562,Africa,2021-02-08,3696886.0,3980.0,1426736614.0,95274.0
1563,Africa,2021-02-09,3707084.0,6700.0,1426736614.0,95706.0
1564,Africa,2021-02-10,3719363.0,10335.0,1426736614.0,96426.0
1565,Africa,2021-02-11,3733444.0,13867.0,1426736614.0,96980.0
1566,Africa,2021-02-12,3747448.0,13867.0,1426736614.0,97508.0
1567,Africa,2021-02-13,3760875.0,14181.0,1426736614.0,98061.0
1568,Africa,2021-02-14,3772306.0,14181.0,1426736614.0,98408.0
1569,Africa,2021-02-15,3782984.0,16441.0,1426736614.0,98702.0
1570,Africa,2021-02-16,3791755.0,18176.0,1426736614.0,99153.0
1571,Africa,2021-02-17,3802331.0,19512.0,1426736614.0,99616.0
1572,Africa,2021-02-18,3815134.0,22925.0,1426736614.0,100032.0
1573,Africa,2021-02-19,3827245.0,32990.0,1426736614.0,100504.0
1574,Africa,2021-02-20,3839937.0,45489.0,1426736614.0,100904.0
1575,Africa,2021-02-21,3849600.0,50463.0,1426736614.0,101191.0
1576,Africa,2021-02-22,3859056.0,68325.0,1426736614.0,101533.0
1577,Africa,2021-02-23,3869749.0,86927.0,1426736614.0,101833.0
1578,Africa,2021-02-24,3878877.0,102499.0,1426736614.0,102313.0
1579,Africa,2021-02-25,3892232.0,119792.0,1426736614.0,102670.0
1580,Africa,2021-02-26,3902654.0,183604.0,1426736614.0,103004.0
1581,Africa,2021-02-27,3915328.0,252758.0,1426736614.0,103340.0
1582,Africa,2021-02-28,3923668.0,255982.0,1426736614.0,103692.0
1583,Africa,2021-03-01,3932024.0,330257.0,1426736614.0,103921.0
1584,Africa,2021-03-02,3940888.0,394124.0,1426736614.0,104246.0
1585,Africa,2021-03-03,3950262.0,468861.0,1426736614.0,104638.0
1586,Africa,2021-03-04,3963726.0,529681.0,1426736614.0,104948.0
1587,Africa,2021-03-05,3975206.0,624742.0,1426736614.0,105271.0
1588,Africa,2021-03-06,3985773.0,705135.0,1426736614.0,105580.0
1589,Africa,2021-03-07,3994493.0,705135.0,1426736614.0,105845.0
1590,Africa,2021-03-08,4002754.0,779759.0,1426736614.0,106067.0
1591,Africa,2021-03-09,4011254.0,850734.0,1426736614.0,106375.0
1592,Africa,2021-03-10,4020221.0,1010055.0,1426736614.0,106682.0
1593,Africa,2021-03-11,4030995.0,1137129.0,1426736614.0,106997.0
1594,Africa,2021-03-12,4041334.0,1397210.0,1426736614.0,107271.0
1595,Africa,2021-03-13,4052825.0,1644318.0,1426736614.0,107545.0
1596,Africa,2021-03-14,4061398.0,1644318.0,1426736614.0,107805.0
1597,Africa,2021-03-15,4070175.0,1942667.0,1426736614.0,108077.0
