,location,date,population,people_fully_vaccinated
494,Afghanistan,2021-05-11,41128772.0,55624.0
503,Afghanistan,2021-05-20,41128772.0,77560.0
507,Afghanistan,2021-05-24,41128772.0,96910.0
509,Afghanistan,2021-05-26,41128772.0,111082.0
510,Afghanistan,2021-05-27,41128772.0,113739.0
513,Afghanistan,2021-05-30,41128772.0,119926.0
516,Afghanistan,2021-06-02,41128772.0,144600.0
517,Afghanistan,2021-06-03,41128772.0,148505.0
522,Afghanistan,2021-06-08,41128772.0,158343.0
528,Afghanistan,2021-06-14,41128772.0,177266.0
536,Afghanistan,2021-06-22,41128772.0,183762.0
541,Afghanistan,2021-06-27,41128772.0,186260.0
544,Afghanistan,2021-06-30,41128772.0,187654.0
549,Afghanistan,2021-07-05,41128772.0,189322.0
551,Afghanistan,2021-07-07,41128772.0,199250.0
555,Afghanistan,2021-07-11,41128772.0,219159.0
595,Afghanistan,2021-08-20,41128772.0,430744.0
681,Afghanistan,2021-11-14,41128772.0,3188609.0
724,Afghanistan,2021-12-27,41128772.0,3753224.0
737,Afghanistan,2022-01-09,41128772.0,3809353.0
739,Afghanistan,2022-01-11,41128772.0,3814837.0
741,Afghanistan,2022-01-13,41128772.0,3823786.0
745,Afghanistan,2022-01-17,41128772.0,3832821.0
747,Afghanistan,2022-01-19,41128772.0,3836731.0
752,Afghanistan,2022-01-24,41128772.0,3851307.0
754,Afghanistan,2022-01-26,41128772.0,3866279.0
755,Afghanistan,2022-01-27,41128772.0,3868832.0
759,Afghanistan,2022-01-31,41128772.0,3892831.0
761,Afghanistan,2022-02-02,41128772.0,3912336.0
766,Afghanistan,2022-02-07,41128772.0,3959887.0
773,Afghanistan,2022-02-14,41128772.0,4043580.0
779,Afghanistan,2022-02-20,41128772.0,4125717.0
786,Afghanistan,2022-02-27,41128772.0,4231984.0
793,Afghanistan,2022-03-06,41128772.0,4281934.0
804,Afghanistan,2022-03-17,41128772.0,4402868.0
809,Afghanistan,2022-03-22,41128772.0,4420127.0
822,Afghanistan,2022-04-04,41128772.0,4532577.0
832,Afghanistan,2022-04-14,41128772.0,4595506.0
836,Afghanistan,2022-04-18,41128772.0,4603187.0
